4.9742,-4.8412,5.1452,-4.9638,-11.566,-8.6367,17.969,21.525,20.53,13.374,22.266,30.916,3025,3027.9,3030.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.7245,4.8793,-3.9626,-3.9666,3.1226,3.0743,20.952,17.049,12.181,14.76,22.296,29.501,3028.2,3031,3033.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1189,-5.5384,-2.7488,1.0316,4.4204,1.9496,15.324,8.5008,0.22347,19.409,26.373,32.899,3037.4,3040.4,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.0912,4.0145,-2.6974,5.0296,-2.5241,-8.5175,7.3357,-1.1569,-8.7661,22.109,28.2,33.838,3043.8,3046.8,3049.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7263,-3.4755,-0.065222,-1.195,-4.1058,-1.5827,-3.1342,-13.096,-21.641,24.967,29.939,34.383,3051,3054.1,3056.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.5292,-13.496,14.638,-10.939,-4.446,12.02,-17.866,-14.787,-8.7387,34.13,36.613,37.456,3060.5,3064,3067.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12.714,13.604,-6.9814,-6.3374,8.8224,13.944,-15.875,-8.015,1.622,35.494,37.274,37.689,3067.4,3070.9,3074.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.392,-7.5633,-25.631,8.7303,12.843,2.788,-9.885,-0.1243,9.2174,36.246,37.486,37.581,3074.1,3077.7,3081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0442,-17.677,-16.212,11.771,2.5542,-16.585,-6.4293,0.051322,5.399,36.813,37.244,36.739,3079.2,3082.8,3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-18.717,-25.082,-27.418,-0.16865,-11.965,-19.18,0.59705,5.7344,9.3378,37.66,37.56,36.506,3085.6,3089.1,3092.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-23.427,-18.27,23.512,-6.7378,-21.489,-38.77,-1.8953,1.02,2.7348,37.218,36.672,35.452,3090.2,3093.6,3096.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16.312,22.103,20.903,-24.795,-38.504,-44.578,5.7489,7.6408,8.0393,35.379,33.781,31.683,3091.5,3094.7,3097.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.103,20.903,-24.943,-16.067,-18.152,-13.363,13.414,13.008,11.383,23.979,20.082,16.101,3076.3,3077.7,3078.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.387,-21.066,-9.0133,-17.293,-15.782,-9.6582,13.022,11.465,8.8973,18.604,14.424,10.291,3077.8,3079,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.522,13.896,-12.166,-47.777,-60.345,-62.131,16.129,14.383,10.912,23.417,19.928,16.293,3090.8,3092.6,3094.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.896,-12.166,-69.427,-17.692,-15.718,-4.3611,0.12085,-6.1278,-13.219,8.3453,4.8295,1.7719,3075.8,3076.3,3076.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.47,-18.539,18.856,-86.241,-108.52,-117.85,10.145,9.7395,9.4723,20.324,16.862,13.234,3090.4,3091.7,3092.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24.007,0.68352,26.266,-14.933,-4.858,16.342,-59.955,-67.469,-73.557,8.9655,6.7379,5.1377,3081.1,3081.4,3081.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58099,25.304,-36.93,-12.316,3.0151,20.585,-18.375,-13.15,-7.3451,-35.89,-41.887,-46.841,3082.5,3082.3,3081.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.9,-37.815,-77.917,-1.7766,11.396,21.883,-10.165,-0.17803,10.386,-40.152,-44.421,-47.704,3082.7,3082.3,3081.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13.942,-36.431,23.196,11.901,10.49,2.4651,-12.949,-5.695,2.5684,-55.928,-61.627,-66.299,3082.2,3081.7,3080.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-31.877,31.716,24.906,4.857,-7.5448,-16.123,-4.304,4.382,13.05,-62.087,-66.773,-70.475,3081.8,3081,3080.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.716,24.906,0.20137,-6.7352,-14.382,-16.415,3.4632,11.288,18.109,-66.594,-70.381,-73.243,3081,3080,3078.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.906,0.20137,-11.468,-12.278,-14.194,-11.709,9.5609,16.243,21.531,-70.755,-73.595,-75.546,3080,3078.9,3077.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.7475,-9.8096,-39.382,-10.921,-9.5332,-8.6944,18.71,20.446,20.098,-43.812,-43.162,-41.188,3045.3,3042.5,3039.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.8096,-39.382,-47.915,-9.5332,-8.6944,-7.3073,20.549,20.227,18.374,-43.577,-41.877,-39.067,3042.8,3040.2,3037.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22.993,-32.971,33.076,-17.616,-16.787,-14.513,17.756,20.428,21.591,-43.865,-43.048,-41.263,3037.2,3034,3030.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
